name,index,subindex
eunike,185,mainbelt_clxxxv
celuta,186,mainbelt_clxxxvi
lamberta,187,mainbelt_clxxxvii
menippe,188,mainbelt_clxxxviii
phthia,189,mainbelt_clxxxix
ismene,190,mainbelt_cxc
kolga,191,mainbelt_cxci
nausikaa,192,mainbelt_cxcii
ambrosia,193,mainbelt_cxciii
prokne,194,mainbelt_cxciv
eurykleia,195,mainbelt_cxcv
philomela,196,mainbelt_cxcvi
arete,197,mainbelt_cxcvii
ampella,198,mainbelt_cxcviii
byblis,199,mainbelt_cxcix
dynamene,200,mainbelt_cc
aletheia,259,mainbelt_cclix
bamberga,324,mainbelt_cccxxiv
palma,372,mainbelt_ccclxxii
melusina,373,mainbelt_ccclxxiii
burgundia,374,mainbelt_ccclxxiv
ursula,375,mainbelt_ccclxxv
diotima,423,mainbelt_cdxxiii
patientia,451,mainbelt_cdli
davida,511,mainbelt_dxii
herculina,532,mainbelt_dxxxii
hektor,624,mainbelt_dcxxiv
auravictrix,700,mainbelt_dcc
oriola,701,mainbelt_dcci
alauda,702,mainbelt_dccii
noemi,703,mainbelt_dcciii
interamnia,704,mainbelt_dcciv
jupiter,0,jupiter_n
io,1,jupiter_i
europa,2,jupiter_ii
ganymede,3,jupiter_iii
callisto,4,jupiter_iv
amalthea,5,jupiter_v
himalia,6,jupiter_vi
elara,7,jupiter_vii
pasiphae,8,jupiter_viii
sinope,9,jupiter_ix
lysithea,10,jupiter_x
carme,11,jupiter_xi
ananke,12,jupiter_xii
leda,13,jupiter_xiii
thebe,14,jupiter_xiv
adrastea,15,jupiter_xv
metis,16,jupiter_xvi
callirrhoe,17,jupiter_xvii
themisto,18,jupiter_xviii
megaclite,19,jupiter_xix
taygete,20,jupiter_xx
chaldene,21,jupiter_xxi
harpalyke,22,jupiter_xxii
kalyke,23,jupiter_xxiii
iocaste,24,jupiter_xxiv
erinome,25,jupiter_xxv
isonoe,26,jupiter_xxvi
praxidike,27,jupiter_xxvii
autonoe,28,jupiter_xxviii
thyone,29,jupiter_xxix
hermippe,30,jupiter_xxx
aitne,31,jupiter_xxxi
eurydome,32,jupiter_xxxii
euanthe,33,jupiter_xxxiii
euporie,34,jupiter_xxxiv
orthosie,35,jupiter_xxxv
sponde,36,jupiter_xxxvi
kale,37,jupiter_xxxvii
pasithee,38,jupiter_xxxviii
hegemone,39,jupiter_xxxix
mneme,40,jupiter_xl
aoede,41,jupiter_xli
thelxinoe,42,jupiter_xlii
arche,43,jupiter_xliii
kallichore,44,jupiter_xliv
helike,45,jupiter_xlv
carpo,46,jupiter_xlvi
eukelade,47,jupiter_xlvii
cyllene,48,jupiter_xlviii
kore,49,jupiter_xlix
herse,50,jupiter_l
dia,-,jupiter_
s2003j12,-,jupiter_
s2003j3,-,jupiter_
s2003j18,-,jupiter_
s2003j16,-,jupiter_
s2003j19,-,jupiter_
s2003j15,-,jupiter_
s2003j10,-,jupiter_
s2003j23,-,jupiter_
s2003j4,-,jupiter_
s2003j9,-,jupiter_
s2003j5,-,jupiter_
s2003j2,-,jupiter_
saturn,0,saturn_n
mimas,1,saturn_i
enceladus,2,saturn_ii
tethys,3,saturn_iii
dione,4,saturn_iv
rhea,5,saturn_v
titan,6,saturn_vi
hyperion,7,saturn_vii
iapetus,8,saturn_viii
phoebe,9,saturn_ix
janus,10,saturn_x
epimetheus,11,saturn_xi
helene,12,saturn_xii
telesto,13,saturn_xiii
calypso,14,saturn_xiv
atlas,15,saturn_xv
prometheus,16,saturn_xvi
pandora,17,saturn_xvii
pan,18,saturn_xviii
ymir,19,saturn_xix
paaliaq,20,saturn_xx
tarvos,21,saturn_xxi
ijiraq,22,saturn_xxii
suttungr,23,saturn_xxiii
kiviuq,24,saturn_xxiv
mundilfari,25,saturn_xxv
albiorix,26,saturn_xxvi
skathi,27,saturn_xxvii
erriapus,28,saturn_xxviii
siarnaq,29,saturn_xxix
thrymr,30,saturn_xxx
narvi,31,saturn_xxxi
methone,32,saturn_xxxii
pallene,33,saturn_xxxiii
polydeuces,34,saturn_xxxiv
daphnis,35,saturn_xxxv
aegir,36,saturn_xxxvi
bebhionn,37,saturn_xxxvii
bergelmir,38,saturn_xxxviii
bestla,39,saturn_xxxix
farbauti,40,saturn_xl
fenrir,41,saturn_xli
fornjot,42,saturn_xlii
hati,43,saturn_xliii
hyrrokkin,44,saturn_xliv
kari,45,saturn_xlv
loge,46,saturn_xlvi
skoll,47,saturn_xlvii
surtur,48,saturn_xlviii
anthe,49,saturn_xlix
jarnsaxa,50,saturn_l
greip,51,saturn_li
tarqeq,52,saturn_lii
aegaeon,53,saturn_liii
s2009s1,-,saturn_
s2007s2,-,saturn_
s2004s13,-,saturn_
s2006s1,-,saturn_
s2004s17,-,saturn_
s2004s12,-,saturn_
s2007s3,-,saturn_
s2004s7,-,saturn_
s2006s3,-,saturn_
uranus,0,uranus_n
ariel,1,uranus_i
umbriel,2,uranus_ii
titania,3,uranus_iii
oberon,4,uranus_iv
miranda,5,uranus_v
cordelia,6,uranus_vi
ophelia,7,uranus_vii
bianca,8,uranus_viii
cressida,9,uranus_ix
desdemona,10,uranus_x
juliet,11,uranus_xi
portia,12,uranus_xii
rosalind,13,uranus_xiii
belinda,14,uranus_xiv
puck,15,uranus_xv
caliban,16,uranus_xvi
sycorax,17,uranus_xvii
prospero,18,uranus_xviii
setebos,19,uranus_xix
stephano,20,uranus_xx
trinculo,21,uranus_xxi
francisco,22,uranus_xxii
margaret,23,uranus_xxiii
